id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35206126,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,71069353,Murat,,Zuid,51.20738,4.38704,Entire home/apt,220,4,0,,,1,0,0,
35227376,Rental unit in Antwerpen · ★4.83 · 1 bedroom · 2 beds · 1 bath,265233453,Brigitte,,Brederode,51.20621,4.39897,Entire home/apt,50,7,6,2021-01-02,0.11,1,12,0,
35297542,Rental unit in Antwerpen · ★4.95 · 1 bedroom · 2 beds · 1 bath,12228992,Isis,,Zurenborg,51.20645,4.42987,Entire home/apt,,3,19,2022-08-05,0.35,4,0,0,
35303380,Rental unit in Antwerpen · ★4.83 · 1 bedroom · 2 beds · 1 bath,175212893,Sanaz,,Markgrave,51.19339,4.41147,Entire home/apt,59,2,189,2023-12-12,3.41,2,131,48,
35312060,Rental unit in Antwerpen · ★4.76 · 2 bedrooms · 2 beds · 1 bath,208159189,Charly,,Zuid,51.20699,4.38975,Entire home/apt,,2,17,2022-03-06,0.31,2,0,0,
35328212,Rental unit in Antwerpen · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,181853803,Mao-Ming,,Deurne Zuid West,51.210662841796875,4.462666988372803,Private room,33,30,14,2023-02-19,0.26,4,269,1,
35361130,Rental unit in Antwerpen · ★4.0 · Studio · 1 bed · 1 bath,264997545,Joost,,Eilandje,51.23193,4.41277,Entire home/apt,,1,7,2022-01-23,0.13,2,0,0,
35366436,Rental unit in Antwerpen · ★4.72 · 1 bedroom · 1 bed · 1.5 baths,90573434,Jef,,Eilandje,51.23421,4.41344,Entire home/apt,,20,32,2023-11-08,0.59,2,0,7,
35419492,Rental unit in Antwerpen · ★4.93 · 1 bedroom · 1 bed · 1 bath,266567119,Ying,,Historisch Centrum,51.22113,4.40194,Entire home/apt,92,2,324,2023-12-15,5.89,1,0,82,
35507561,Townhouse in Antwerpen · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,22144864,Greet,,Borgerhout Intra Muros Noord,51.21745,4.42986,Entire home/apt,260,2,9,2023-11-05,0.17,2,358,4,
35538073,Condo in Antwerpen · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,151274831,Mario,,Linkeroever,51.21991,4.36321,Private room,40,28,20,2020-09-18,0.36,2,179,0,
35570936,Rental unit in Antwerpen · ★4.12 · 1 bedroom · 8 beds · 1.5 baths,165436938,Ella,,Universiteitsbuurt,51.22035,4.41469,Entire home/apt,71,1,118,2023-12-04,2.14,134,347,16,
35602722,Rental unit in Antwerpen · ★4.93 · 3 bedrooms · 3 beds · 2.5 baths,267848896,Dietrich,,Brederode,51.20793,4.39991,Entire home/apt,329,2,43,2023-10-09,0.82,2,157,10,
35633180,Rental unit in Antwerpen · ★4.40 · 1 bedroom · 1 bed · 1 bath,147701563,Jozefien,,Stuivenberg,51.22037,4.42865,Entire home/apt,,3,5,2019-07-29,0.09,1,0,0,
35635303,Condo in Antwerpen · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,132678140,Kim,,Haringrode,51.2012696,4.4134913,Entire home/apt,82,2,7,2023-05-22,0.81,1,46,7,
35736331,Guest suite in Antwerpen · ★4.38 · Studio · 5 beds · 1 bath,127787502,Olena,,Amandus - Atheneum,51.22565,4.41919,Entire home/apt,172,1,8,2023-08-15,0.22,20,102,4,
35764620,Rental unit in Antwerpen · ★4.55 · Studio · 3 beds · 1.5 baths,127787502,Olena,,Amandus - Atheneum,51.22367,4.4195,Entire home/apt,190,1,31,2023-04-17,0.57,20,0,1,
35779920,Rental unit in Antwerpen · ★4.74 · 2 bedrooms · 2 beds · 3 baths,267558707,Adil,,Stadspark,51.21389,4.41343,Entire home/apt,104,1,109,2023-12-17,1.98,1,156,46,
35800771,Rental unit in Antwerpen · ★4.44 · 1 bedroom · 1 bed · 1 bath,138107464,Polina,,Sint-Andries,51.2177,4.39925,Entire home/apt,,3,9,2021-08-25,0.30,1,0,0,
35968415,Rental unit in Antwerpen · ★4.07 · 2 bedrooms · 4 beds · 1.5 baths,165436938,Ella,,Universiteitsbuurt,51.22025,4.40893,Entire home/apt,71,1,123,2023-11-18,2.27,134,0,12,
35996665,Rental unit in Antwerpen · ★4.22 · 2 bedrooms · 4 beds · 1.5 baths,165436938,Ella,,Theaterbuurt-Meir,51.21967,4.40871,Entire home/apt,71,1,104,2023-11-27,1.90,134,341,28,
35997401,Rental unit in Antwerpen · ★4.20 · 2 bedrooms · 4 beds · 1.5 baths,165436938,Ella,,Universiteitsbuurt,51.22017,4.40883,Entire home/apt,70,1,71,2023-08-16,1.31,134,338,11,
36016441,Serviced apartment in Antwerpen · ★4.68 · 1 bedroom · 1 bed · 1 bath,270964935,Liselore,,Sint-Andries,51.21419,4.40013,Entire home/apt,178,1,25,2023-12-02,0.47,17,360,1,
36020300,Serviced apartment in Antwerp · ★4.79 · 1 bedroom · 1 bed · 1 bath,270964935,Liselore,,Sint-Andries,51.21419,4.40013,Entire home/apt,164,1,24,2023-02-04,0.44,17,347,1,
36029902,Serviced apartment in Antwerp · ★4.79 · 1 bedroom · 1 bed · 1 bath,270964935,Liselore,,Sint-Andries,51.21419,4.40013,Entire home/apt,170,1,52,2023-06-10,0.95,17,343,6,
36031281,Serviced apartment in Antwerp · ★4.81 · 2 bedrooms · 3 beds · 1.5 baths,270964935,Liselore,,Sint-Andries,51.21419,4.40013,Entire home/apt,267,1,43,2023-09-30,0.79,17,354,10,
36068325,Rental unit in Antwerpen · ★4.95 · 2 bedrooms · 2 beds · 2.5 baths,148956742,Sarah,,Eilandje,51.23395,4.41462,Entire home/apt,,14,20,2020-03-15,0.37,1,0,0,
36086423,Rental unit in Antwerp · ★4.75 · Studio · 2 beds · 1 bath,264997545,Joost,,Historisch Centrum,51.219,4.402,Entire home/apt,,2,4,2021-08-02,0.08,2,0,0,
