id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,188,1,3,2022-05-15,0.03,4,340,0,
224682,Rental unit in Antwerpen · ★4.79 · 1 bedroom · 2 beds · 1 bath,1263933,Kristien,,Historisch Centrum,51.21906,4.39955,Entire home/apt,167,2,536,2023-12-17,3.71,2,0,87,
345959,Rental unit in Antwerp · ★4.81 · 2 bedrooms · 2 beds · 1 bath,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,66,3,100,2023-12-17,0.71,2,295,16,
363155,Rental unit in Antwerp · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,1835458,Roos,,Amandus - Atheneum,51.22109,4.41812,Entire home/apt,75,6,32,2023-10-24,0.23,1,325,5,
366252,Rental unit in Antwerp · ★4.63 · 1 bedroom · 1 bed · 1.5 shared baths,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,45,1,160,2023-12-17,1.12,2,129,28,
522693,Rental unit in Antwerp · 1 bedroom · 2 beds · 1 bath,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,282,2,0,,,1,0,0,
603545,Loft in Antwerp · ★4.81 · 1 bedroom · 1 bed · 1 bath,2987880,Cédric,,Harmonie,51.20819,4.40597,Entire home/apt,89,3,32,2023-11-30,0.24,1,358,6,
636664,Rental unit in Antwerp · ★4.55 · 2 bedrooms · 3 beds · 1 bath,462975,Els,,Borgerhout Intra Muros Noord,51.21749,4.43053,Entire home/apt,156,2,122,2023-10-23,0.89,1,355,16,
685049,Home in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,3493319,Glenn,,Oud - Berchem,51.19382,4.41464,Private room,85,2,3,2019-11-24,0.03,2,101,0,
772842,Loft in Antwerp · ★4.43 · 1 bedroom · 1 bath,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,146,2,74,2023-03-12,0.55,1,179,1,
778043,Rental unit in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,1735092,Marc & Elizabeth,,Stadspark,51.20446428536392,4.413368812822418,Entire home/apt,99,2,85,2023-10-01,0.64,1,305,5,
791792,Loft in Antwerp · ★4.83 · 1 bedroom · 2 beds · 1 bath,3424990,Tim,,Zuid,51.20502,4.38874,Entire home/apt,91,4,6,2022-03-23,0.05,1,354,0,
813969,Rental unit in Antwerp · ★4.65 · 2 bedrooms · 3 beds · 1.5 baths,4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,259,1,127,2023-10-24,1.22,2,7,15,
891884,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,180,1,3,2022-05-10,0.06,4,339,0,
891907,Rental unit in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,234077,Karin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,214,2,24,2023-12-10,0.21,4,322,4,
959200,Rental unit in Antwerp · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21531295776367,4.438202857971191,Entire home/apt,85,3,72,2023-08-13,0.59,3,54,4,
991824,Rental unit in Antwerp · ★4.60 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,332,2023-12-03,2.55,2,331,34,
1050693,Rental unit in Antwerp · ★4.61 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,31,2023-11-19,0.25,2,332,7,
1172376,Rental unit in Antwerp · ★4.52 · 1 bedroom · 2 beds · 1 bath,6068286,Frédéric,,Zuid,51.21125,4.40108,Entire home/apt,80,3,23,2023-09-28,0.18,2,358,4,
1172507,Rental unit in Antwerp · ★4.33 · 1 bedroom · 1 bed · 1 bath,6068286,Frédéric,,Zuid,51.21174,4.39944,Entire home/apt,85,2,191,2023-08-02,1.53,2,360,3,
1184623,Loft in Antwerp · ★4.69 · 2 bedrooms · 2 beds · 3 baths,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,225,2,36,2023-05-30,0.29,2,0,2,
1227242,Boat in Antwerp · ★4.75 · 10 bedrooms · 20 beds · 2 shared baths,4193029,Jan,,Eilandje,51.22861,4.40386,Private room,83,1,60,2023-11-26,1.28,2,314,17,
1328770,Boat in Antwerp · ★4.50 · 11 bedrooms · 16 beds · 2 shared baths,4193029,Jan,,Eilandje,51.22868,4.40399,Private room,77,1,200,2023-12-01,1.58,2,0,24,
1444602,Rental unit in Antwerp · ★4.82 · 2 bedrooms · 2 beds · 1 bath,7755956,Sabien,,Zurenborg,51.20819,4.42707,Entire home/apt,80,5,18,2023-08-31,0.14,1,0,8,
1504952,Bed and breakfast in Antwerp · ★4.75 · 4 bedrooms · 6 beds · 4.5 baths,573329,Patricia,,Centraal Station,51.21775,4.42684,Private room,500,1,56,2023-09-15,0.44,1,6,2,
1808782,Loft in Antwerp · ★4.96 · 1 bedroom · 1 bed · 1 bath,9478810,Keith,,Sint-Andries,51.21232,4.39571,Entire home/apt,119,2,257,2023-12-17,2.10,1,216,17,
1897272,Loft in Antwerp · ★4.84 · 1 bedroom · 3 beds · 3 baths,9174116,Sascha,,Haringrode,51.20079,4.41933,Entire home/apt,270,2,62,2019-07-29,0.51,2,363,0,
2051988,Rental unit in Antwerpen · ★4.41 · 1 bedroom · 1 bed · 1 bath,10515379,Luc,,Zuid,51.20671,4.39387,Entire home/apt,55,1,27,2023-12-03,1.70,1,337,14,
2230592,Loft in Antwerp · ★4.52 · 1 bedroom · 1 bed · 1.5 shared baths,3488121,Jan,,Deurne Noord,51.23082,4.44483,Private room,61,1,54,2023-12-09,0.45,2,64,8,
2282418,Condo in Antwerpen · ★4.51 · 1 bedroom · 2 beds · 1 bath,11633996,Samira,,Borgerhout Extra Muros,51.21264,4.45213,Entire home/apt,75,2,167,2023-12-10,1.60,1,229,38,
2448815,Loft in Antwerp · 1 bedroom · 1 bed · 1.5 baths,12523959,Tom,,Sint-Andries,51.21603012084961,4.399158954620361,Private room,251,1,0,,,4,342,0,
2543695,Rental unit in Antwerp · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,234077,Karin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,214,1,32,2023-08-28,0.29,4,337,4,
2602613,Home in Antwerp · ★4.91 · 1 bedroom · 1 bed · 1 bath,13330269,Joelle,,Borgerhout Intra Muros Zuid,51.21595,4.43032,Entire home/apt,65,2,246,2023-12-24,2.08,1,236,48,
2609419,Rental unit in Antwerp · ★4.72 · 1 bedroom · 2 beds · 1 bath,10342058,Sofie & Manu,,Zuid,51.20703,4.38918,Entire home/apt,65,2,39,2023-08-22,0.35,2,137,5,
2659281,Townhouse in Antwerpen · ★5.0 · 3 bedrooms · 4 beds · 2 baths,6602849,Rudina,,Deurne Dorp - Gallifort,51.21962,4.45746,Entire home/apt,200,2,9,2023-07-24,0.53,2,23,5,
2682808,Townhouse in Antwerp · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,13733939,An,,Oud - Berchem,51.19926,4.42986,Private room,47,2,488,2023-12-01,4.12,1,0,56,
2819412,Home in Antwerpen · ★4.48 · 3 bedrooms · 5 beds · 2 shared baths,14423888,Terra,,Borgerhout Intra Muros Zuid,51.20914,4.43539,Private room,41,1,154,2023-12-10,1.48,1,0,30,
3518676,Rental unit in Antwerpen · ★4.49 · 2 bedrooms · 3 beds · 1 bath,17717089,Leonie En Ahmed,,Historisch Centrum,51.22343,4.40121,Entire home/apt,175,2,72,2020-03-08,0.65,1,325,0,
3581864,Rental unit in Antwerpen · ★4.33 · 1 bedroom · 1 bed · 1 bath,7386200,Mathieu,,Zuid,51.21179,4.39336,Entire home/apt,163,3,125,2018-08-27,1.09,1,5,0,
3857702,Condo in Antwerp · ★4.98 · 2 bedrooms · 2 beds · 1 bath,19891615,Bart,,Universiteitsbuurt,51.22173,4.4092,Entire home/apt,200,2,43,2023-10-29,0.41,3,345,6,
3860392,Townhouse in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,19891615,Bart,,Universiteitsbuurt,51.22118,4.4078,Private room,90,2,5,2023-10-23,0.05,3,359,4,
4030176,Rental unit in Antwerp · ★4.24 · 1 bedroom · 1 bed · 1.5 baths,9438737,Joel,,Amandus - Atheneum,51.22512,4.41773,Entire home/apt,60,14,174,2023-12-10,1.54,1,0,17,
4178600,Home in Antwerp · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths,21679611,Tom,,Zurenborg,51.20905,4.42731,Private room,79,1,185,2023-12-02,1.70,1,347,9,
4265913,Townhouse in Antwerp · ★4.85 · 2 bedrooms · 3 beds · 1.5 baths,22144864,Greet,,Amandus - Atheneum,51.21765,4.4284,Entire home/apt,256,2,27,2023-10-23,0.24,2,357,4,
4322521,Rental unit in Antwerp · ★4.86 · 2 bedrooms · 4 beds · 2 baths,15216532,Pascal,,Zuid,51.20585,4.38986,Entire home/apt,161,2,314,2023-10-16,2.86,2,317,14,
4332020,Rental unit in Antwerpen · ★4.89 · 1 bedroom · 1 bed · 1 bath,1754396,Marleen,,Markgrave,51.20113,4.40153,Entire home/apt,60,1,18,2023-12-10,0.18,2,39,7,
4425751,Condo in Antwerp · ★4.73 · 2 bedrooms · 2 beds · 1 shared bath,3093188,Saskia,,Stadspark,51.20934,4.41503,Private room,64,1,112,2023-12-16,1.02,1,165,9,
4468570,Rental unit in Antwerpen · ★New · 1 bedroom · 1 bed · 1 bath,23161267,Siegert,,Eilandje,51.2273440137127,4.412057027357496,Entire home/apt,100,14,0,,,1,253,0,
4502646,Loft in Antwerp · ★4.78 · Studio · 2 beds · 1.5 baths,13059720,Yara,,Historisch Centrum,51.21873,4.39914,Entire home/apt,82,1,800,2023-12-10,7.26,1,315,60,
4733497,Cottage in Antwerpen · ★4.65 · 4 bedrooms · 4 beds · 1 bath,24249803,Michel,,Sint-Andries,51.21743,4.39925,Entire home/apt,190,2,120,2021-12-05,1.10,1,0,0,
4748466,Condo in Antwerpen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,24507004,Nele,,Zuid,51.206662044239174,4.392056396958939,Entire home/apt,165,1,9,2023-11-05,0.50,1,294,4,
4920115,Rental unit in Antwerpen · ★4.71 · 1 bedroom · 2 beds · 1 bath,25217689,Katrin,,Kiel,51.18307,4.38796,Entire home/apt,174,2,7,2015-09-14,0.06,1,337,0,
4980368,Rental unit in Antwerpen · ★4.89 · 2 bedrooms · 4 beds · 1 bath,25674863,Sam,,Groenenhoek,51.20373,4.4406,Entire home/apt,83,2,18,2023-11-13,0.19,2,153,12,
4985922,Rental unit in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 bath,25701603,Nadi,,Harmonie,51.20845,4.40583,Entire home/apt,99,2,50,2023-12-10,0.48,1,0,18,
5020599,Loft in Antwerpen · ★4.92 · Studio · 1 bed · 1 bath,13357011,Liselotte,,Theaterbuurt-Meir,51.21758,4.40584,Entire home/apt,115,4,60,2023-07-23,0.55,1,0,12,
5026455,Rental unit in Antwerpen · ★4.86 · 2 bedrooms · 2 beds · 2.5 baths,4492282,Lies,,Sint-Andries,51.21645,4.40084,Entire home/apt,171,2,87,2020-03-16,0.80,1,0,0,
5047962,Loft in Antwerpen · ★4.70 · 1 bedroom · 1 bed · 1.5 baths,12309348,Luc & Kristina,,Haringrode,51.2027654,4.4244886,Private room,60,2,178,2023-12-02,1.64,1,353,22,
5143364,Condo in Antwerpen · 1 bedroom · 1 bed · 1.5 baths,15066463,Lien,,Borgerhout Intra Muros Zuid,51.21311,4.43188,Entire home/apt,85,5,1,2023-08-31,0.25,1,236,1,
5233718,Rental unit in Antwerpen · ★4.94 · 1 bedroom · 4 beds · 1.5 baths,27086764,Nina,,Theaterbuurt-Meir,51.21543,4.41303,Entire home/apt,100,3,31,2023-10-09,0.29,1,170,4,
5379855,Loft in Antwerp · ★4.74 · 4 bedrooms · 5 beds · 2.5 baths,6930093,"Ian, Jande En Marie",,Borgerhout Intra Muros Zuid,51.21492,4.43353,Entire home/apt,370,3,242,2023-12-10,2.28,4,0,24,
5417459,Home in Antwerpen · ★4.77 · 2 bedrooms · 2 beds · 2 baths,7553126,Tania,,Hoboken - Centrum,51.18042,4.36373,Entire home/apt,99,16,97,2023-09-16,1.02,2,84,5,
5536783,Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1 bath,10843073,Charly,,Zuid,51.20972,4.39794,Entire home/apt,111,25,27,2023-08-31,0.26,1,62,4,
5574536,Rental unit in Antwerpen · ★4.82 · 1 bedroom · 1 bed · 1 bath,28902892,AchA,,Historisch Centrum,51.21839,4.40051,Entire home/apt,99,2,152,2023-12-26,1.43,2,332,19,
5575185,Rental unit in Antwerpen · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,28902892,AchA,,Historisch Centrum,51.2203,4.39997,Entire home/apt,136,2,323,2023-12-01,3.04,2,212,47,
5578067,Home in Antwerpen · ★4.84 · 1 bedroom · 2 beds · 1 private bath,28920566,Jasper,,Universiteitsbuurt,51.22239,4.41479,Private room,100,2,234,2023-12-17,2.20,1,140,22,
5646286,Rental unit in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21531295776367,4.438201904296875,Entire home/apt,62,2,86,2023-10-23,0.81,3,18,9,
5741728,Home in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 bath,29779875,&Quot;La Casa Di Frà,,Borgerhout Intra Muros Zuid,51.21477,4.42966,Entire home/apt,70,1,34,2018-03-04,0.32,1,0,0,
5789730,Rental unit in Antwerpen · ★4.70 · 1 bedroom · 2 beds · 1 bath,30038566,Marleen,,Deurne Zuid Oost,51.19654,4.46076,Entire home/apt,79,7,47,2023-12-17,0.44,1,285,3,
5940310,Rental unit in Antwerpen · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,4586965,Mariona,,Kiel,51.18287,4.38895,Entire home/apt,128,1,60,2023-08-13,0.65,3,208,2,
5994895,Loft in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,11857224,Christel,,Historisch Centrum,51.219608,4.398143,Entire home/apt,137,3,39,2023-10-29,0.37,1,355,9,
6000928,Rental unit in Antwerpen · ★4.32 · 1 bedroom · 2 beds · 1 bath,29134589,Guido,,Deurne Oost,51.22313,4.48488,Entire home/apt,135,1,19,2023-05-12,0.20,1,359,2,
6004053,Place to stay in Antwerp · ★4.31 · 1 bedroom · 1 bed · 1 shared bath,31168861,Monique,,Brederode,51.2025,4.39917,Private room,25,7,35,2023-12-22,0.33,1,269,5,
6046872,Rental unit in Antwerpen · ★4.94 · 1 bedroom · 2 beds · 1.5 baths,27432928,Anastassya,,Stadspark,51.20735,4.41104,Entire home/apt,,2,80,2022-04-24,1.37,1,0,0,
6051973,Condo in Antwerp · ★4.97 · 2 bedrooms · 3 beds · 1 bath,3970988,Arthur,,Theaterbuurt-Meir,51.214393615722656,4.403626918792725,Entire home/apt,186,2,117,2023-12-24,1.11,1,345,34,
6149034,Rental unit in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,25673165,Sharon,,Eilandje,51.23104,4.40388,Entire home/apt,68,2,476,2023-12-17,4.52,1,319,76,
6252753,Condo in Antwerpen · ★4.91 · 1 bedroom · 1 bed · 1 bath,4742247,Timothy,,Stuivenberg,51.22451,4.43101,Entire home/apt,79,2,22,2023-08-27,0.21,1,347,6,
6418099,Townhouse in Antwerp · ★4.86 · 1 bedroom · 2 beds · 1.5 shared baths,33481052,Anne,,Borgerhout Intra Muros Zuid,51.21538,4.42761,Private room,50,3,316,2023-09-11,3.04,6,354,11,
6463582,Rental unit in Antwerpen · ★4.92 · 2 bedrooms · 2 beds · 1.5 shared baths,30519050,Bart,,Stuivenberg,51.22158,4.4337,Private room,54,7,128,2023-12-24,1.23,1,58,15,
6545997,Rental unit in Antwerp · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,34241163,Peter,,Amandus - Atheneum,51.2253,4.41752,Entire home/apt,,2,34,2023-11-19,0.33,1,0,6,
6584668,Townhouse in Antwerpen · ★4.96 · 5 bedrooms · 6 beds · 3.5 baths,9629145,Tom,,Stadspark,51.20815,4.41123,Entire home/apt,566,2,168,2023-12-17,1.64,1,0,27,
6585827,Home in Antwerpen · ★4.87 · 1 bedroom · 2 beds · 1.5 shared baths,33481052,Anne,,Borgerhout Intra Muros Zuid,51.215328216552734,4.427670001983643,Private room,45,14,176,2023-10-30,1.70,6,365,4,
6659457,Rental unit in Antwerpen · ★4.69 · 2 bedrooms · 1 bed · 1 bath,26567466,Aurélie,,Brederode,51.20044,4.39501,Entire home/apt,89,2,54,2023-10-08,0.52,1,353,7,
6672914,Rental unit in Antwerpen · ★4.37 · 1 bedroom · 2 beds · 1 bath,34924663,Astrid,,Eilandje,51.23188,4.40614,Entire home/apt,68,2,63,2023-10-31,0.63,1,188,8,
6700898,Home in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,33481052,Anne,,Borgerhout Intra Muros Zuid,51.215274810791016,4.4275407791137695,Private room,51,10,19,2023-08-31,0.18,6,0,2,
7027563,Rental unit in Antwerpen · ★4.33 · Studio · 2 beds · 1 bath,36841645,Anna,,Nieuw - Kwartier West,51.18863,4.42656,Entire home/apt,68,30,21,2020-05-28,0.21,1,280,0,
7067067,Townhouse in Antwerpen · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,33481052,Anne,,Borgerhout Intra Muros Zuid,51.21528,4.42754,Private room,48,2,219,2023-10-22,2.13,6,365,4,
7298474,Rental unit in Antwerpen · ★4.64 · 1 bedroom · 1 bed · 1.5 baths,27585607,Christel,,Amandus - Atheneum,51.22388,4.42032,Entire home/apt,78,2,373,2023-11-12,3.64,2,0,28,
7552929,Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1 bath,10832813,Freya,,Borgerhout Intra Muros Noord,51.21714,4.44348,Entire home/apt,80,2,133,2023-11-26,1.30,1,5,9,
7614218,Rental unit in Antwerpen · ★4.66 · 5 bedrooms · 4 beds · 3.5 baths,8851707,KloosUp,,Petroleum - Zuid,51.19629,4.39048,Entire home/apt,183,3,92,2022-11-27,0.98,1,22,0,
7649576,Rental unit in Antwerpen · ★4.52 · 1 bedroom · 1 bed · 1 bath,40140067,Katrien,,Markgrave,51.19791,4.40655,Entire home/apt,119,2,54,2023-10-23,0.53,1,363,9,
7724259,Villa in Antwerpen · ★4.90 · 3 bedrooms · 3 beds · 3 baths,24189736,Paul,,Borgerhout Intra Muros Zuid,51.21213,4.4317,Entire home/apt,500,4,20,2019-11-10,0.20,1,354,0,
7892353,Rental unit in Antwerpen · ★4.85 · 2 bedrooms · 2 beds · 2 baths,29142151,Suzy,,Zuid,51.20889,4.38778,Entire home/apt,110,5,61,2022-06-22,0.60,3,317,0,
8038470,Rental unit in Antwerpen · ★4.75 · 2 bedrooms · 1 bed · 1 bath,42451031,Lana,,Historisch Centrum,51.2223,4.40453,Entire home/apt,199,1,158,2023-10-28,1.61,4,331,6,
8094749,Loft in Antwerpen · ★4.67 · 2 bedrooms · 2 beds · 2 baths,2793445,Christophe,,Haringrode,51.20362,4.4212,Entire home/apt,239,1,33,2023-11-12,0.43,1,354,9,
8158582,Rental unit in Antwerp · ★4.87 · 2 bedrooms · 2 beds · 1.5 baths,43067380,Laura,,Groenenhoek,51.19842,4.44076,Entire home/apt,91,2,124,2023-12-10,2.93,1,0,55,
8256105,Condo in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,43533942,Lisa,,Amandus - Atheneum,51.21815,4.42914,Entire home/apt,,3,6,2022-11-25,0.34,1,0,0,
8469104,Houseboat in Antwerp · ★4.51 · 2 bedrooms · 3 beds · 1 bath,44600268,Tom,,Eilandje,51.23492,4.41387,Entire home/apt,130,1,53,2023-03-13,0.53,1,362,1,
8473696,Home in Antwerpen · ★4.71 · 1 bedroom · 2 beds · 1 bath,44623726,Martin,,Eilandje,51.2286,4.40512,Entire home/apt,94,2,139,2023-12-10,1.41,1,0,20,
8491381,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,43163766,Olivier,,Zuid,51.2099,4.39645,Entire home/apt,,2,0,,,1,0,0,
8514381,Rental unit in Antwerpen · ★4.66 · Studio · 1 bed · 1 bath,44834170,Leni,,Centraal Station,51.21932,4.41635,Entire home/apt,59,2,311,2023-12-17,3.12,1,267,43,
8599666,Rental unit in Antwerpen · ★4.81 · 2 bedrooms · 3 beds · 1 bath,222831298,Arne,,Theaterbuurt-Meir,51.21314,4.40439,Entire home/apt,120,1,469,2023-12-22,4.77,20,160,82,
8725792,Rental unit in Antwerpen · ★4.65 · 1 bedroom · 2 beds · 1 bath,45793937,Daniella,,Stadspark,51.21141,4.41013,Entire home/apt,70,14,34,2020-03-23,0.36,1,67,0,
8751883,Home in Antwerpen · ★4.76 · 8 bedrooms · 25 beds · 8.5 baths,26893689,Filip,,Polder,51.34809,4.34193,Entire home/apt,568,2,41,2023-12-03,0.43,1,204,4,
8772155,Rental unit in Antwerpen · ★4.94 · 2 bedrooms · 2 beds · 2.5 baths,29142151,Suzy,,Zuid,51.20938,4.38797,Entire home/apt,140,3,16,2022-07-31,0.16,3,359,0,
8853612,Loft in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,27447276,Kavak,,Amandus - Atheneum,51.21868,4.42484,Entire home/apt,115,3,111,2019-10-27,1.11,1,267,0,
8877884,Rental unit in Antwerpen · ★4.86 · 1 bedroom · 1 bed · 1 bath,46459971,Pascal,,Zuid,51.20896,4.40023,Entire home/apt,123,2,152,2023-11-12,1.53,1,362,18,
8959933,Rental unit in Antwerpen · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,46828404,Johan,,Sint-Andries,51.21511,4.39238,Entire home/apt,65,14,4,2020-09-06,0.04,1,212,0,
8965535,Loft in Antwerpen · ★4.68 · 1 bedroom · 1 bed · 1 bath,46855052,Marije,,Zuid,51.20629,4.39117,Entire home/apt,71,5,139,2023-08-28,1.46,1,195,3,
9063100,Rental unit in Antwerpen · ★4.79 · 2 bedrooms · 3 beds · 2 baths,42451031,Lana,,Historisch Centrum,51.22089,4.40439,Entire home/apt,176,1,324,2023-12-16,3.32,4,318,17,
9126033,Rental unit in Antwerpen · ★4.33 · 1 bedroom · 1 bed · 1 bath,47542627,Moumouni,,Stuivenberg,51.2216,4.43292,Entire home/apt,70,2,72,2023-12-03,0.73,1,154,18,
9444009,Condo in Antwerpen · ★4.89 · 1 bedroom · 2 beds · 1 bath,48943070,Anny,,Historisch Centrum,51.22563,4.40316,Private room,100,1,147,2023-12-17,1.51,1,356,21,
9444419,Rental unit in Antwerpen · ★4.59 · 4 bedrooms · 4 beds · 3.5 baths,4277604,Sarah,,Zuid,51.21258,4.39068,Entire home/apt,396,1,198,2023-11-24,2.07,2,36,26,
9487949,Rental unit in Antwerpen · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,8331121,Joeri,,Amandus - Atheneum,51.2239,4.41721,Private room,,1,94,2021-04-09,0.96,1,0,0,
9582616,Rental unit in Antwerpen · ★4.85 · 1 bedroom · 2 beds · 1.5 baths,19211847,Dieter,,Borgerhout Extra Muros,51.2014,4.44433,Entire home/apt,109,2,61,2023-10-22,0.84,2,76,8,
9809688,Townhouse in Antwerpen · ★4.41 · 1 bedroom · 3 beds · 1.5 shared baths,11087865,Jay,,Universiteitsbuurt,51.22609,4.40984,Private room,42,1,384,2023-12-06,3.93,4,354,69,
9854143,Rental unit in Antwerpen · ★4.42 · 1 bedroom · 2 beds · 1 bath,41687451,Irina & Gianpaolo,,Universiteitsbuurt,51.22214,4.4083,Entire home/apt,58,2,85,2020-01-30,0.87,1,8,0,
9911612,Townhouse in Antwerpen · ★4.44 · 1 bedroom · 3 beds · 1 shared bath,11087865,Jay,,Universiteitsbuurt,51.22593,4.41114,Private room,43,1,186,2023-12-08,1.91,4,335,70,
9913124,Loft in Antwerpen · ★4.65 · 1 bedroom · 6 beds · 1.5 baths,50969699,Petra,,Historisch Centrum,51.22016,4.40346,Entire home/apt,256,2,239,2023-11-19,2.50,2,0,27,
10015096,Rental unit in Antwerpen · ★4.86 · 2 bedrooms · 3 beds · 1 bath,51433236,Tinne,,Theaterbuurt-Meir,51.21244,4.40585,Entire home/apt,57,28,169,2023-08-09,1.76,1,96,4,
10050755,Rental unit in Antwerpen · ★4.59 · 1 bedroom · 1 bed · 1.5 baths,17189644,Irene,,Universiteitsbuurt,51.22289,4.41138,Entire home/apt,70,1,69,2020-07-20,0.71,1,349,0,
10170353,Rental unit in Antwerpen · ★4.25 · 3 bedrooms · 3 beds · 2 baths,52106350,Jackie,,Centraal Station,51.21747,4.42475,Entire home/apt,160,2,156,2023-10-23,1.64,6,349,13,
10196951,Home in Antwerpen · ★4.48 · 2 bedrooms · 1 bed · 1 shared bath,22962538,Griet,,Stuivenberg,51.22073,4.43665,Private room,45,2,23,2023-07-06,0.27,3,346,5,
10220506,Rental unit in Antwerpen · ★4.90 · 2 bedrooms · 2 beds · 1 bath,27425148,Delphine,,Eilandje,51.23165,4.40488,Entire home/apt,120,2,20,2018-03-18,0.21,1,44,0,
10582792,Home in Antwerpen · 4 bedrooms · 5 beds · 1.5 shared baths,33481052,Anne,,Borgerhout Intra Muros Zuid,51.21533,4.42782,Private room,,10,1,2019-01-03,0.02,6,0,0,
10604260,Home in Antwerpen · ★4.90 · 1 bedroom · 4 beds · 1 private bath,10026319,Marc,,Historisch Centrum,51.22126388549805,4.404333114624023,Private room,86,1,300,2023-12-17,3.11,2,354,35,
10693965,Townhouse in Antwerpen · ★4.94 · 1 bedroom · 2 beds · 1 private bath,10026319,Marc,,Universiteitsbuurt,51.22043,4.40532,Private room,86,1,263,2023-12-23,2.76,2,361,31,
10743570,Rental unit in Antwerp · ★4.66 · 2 bedrooms · 4 beds · 1 bath,50969699,Petra,,Historisch Centrum,51.22142,4.40226,Entire home/apt,275,2,270,2023-11-17,3.21,2,299,43,
10865022,Loft in Antwerpen · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,14336753,Bert,,Brederode,51.2025,4.39206,Entire home/apt,125,30,147,2023-01-05,1.53,5,334,1,
11004345,Rental unit in Antwerpen · ★4.86 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,,Historisch Centrum,51.21987,4.40191,Entire home/apt,151,1,69,2023-12-17,1.29,14,363,19,
11007796,Rental unit in Antwerpen · ★4.79 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,,Historisch Centrum,51.21997,4.40154,Entire home/apt,121,1,53,2023-11-20,0.59,14,353,4,
11036503,Rental unit in Antwerpen · ★4.34 · 2 bedrooms · 2 beds · 1 bath,57272728,Lahkim,,Centraal Station,51.219,4.41902,Entire home/apt,106,2,38,2023-04-11,0.40,4,344,2,
11054114,Rental unit in Antwerpen · ★4.11 · 2 bedrooms · 2 beds · 1 bath,57272728,Lahkim,,Amandus - Atheneum,51.21959,4.41798,Entire home/apt,106,2,20,2022-07-03,0.21,4,336,0,
11054989,Rental unit in Antwerpen · ★4.23 · 2 bedrooms · 2 beds · 1 bath,57272728,Lahkim,,Centraal Station,51.2178,4.41894,Entire home/apt,106,2,40,2023-08-07,0.42,4,331,6,
